Registration,FleetNo,Type
SK74BKX,ADE535,ADL E400EV
SK74BKY,ADE536,ADL E400EV
SK74BKZ,ADE537,ADL E400EV
SK74BLF,ADE538,ADL E400EV
SK74BLJ,ADE539,ADL E400EV
SK74BLN,ADE540,ADL E400EV
SK74BLV,ADE541,ADL E400EV
SK74BLX,ADE542,ADL E400EV
SK74BLZ,ADE543,ADL E400EV
SK74BMO,ADE544,ADL E400EV
SK74BMU,ADE545,ADL E400EV
SK25AHN,ADE546,ADL E400EV
SK25AHO,ADE547,ADL E400EV
SK74BMZ,ADE548,ADL E400EV
SK74BNA,ADE549,ADL E400EV
SK74BNB,ADE550,ADL E400EV
SK74BND,ADE551,ADL E400EV
SK74BNE,ADE552,ADL E400EV
SK74BNF,ADE553,ADL E400EV
SK74BNJ,ADE554,ADL E400EV
SK74BNL,ADE555,ADL E400EV
SK74BNN,ADE556,ADL E400EV
SK74BNO,ADE557,ADL E400EV
SK25AHP,ADE558,ADL E400EV
LF69UXP,BDE194,BYD E400EV
LF69UXS,BDE195,BYD E400EV
LF69UXT,BDE196,BYD E400EV
LF69UXU,BDE197,BYD E400EV
LF69UXV,BDE198,BYD E400EV
LF69UXW,BDE199,BYD E400EV
LF69UXX,BDE200,BYD E400EV
LF69UXY,BDE201,BYD E400EV
LF69UXZ,BDE202,BYD E400EV
LF69UYA,BDE203,BYD E400EV
LF69UYB,BDE204,BYD E400EV
LF69UYC,BDE205,BYD E400EV
LF69UYD,BDE206,BYD E400EV
LF69UYE,BDE207,BYD E400EV
LF69UYG,BDE208,BYD E400EV
LF69UYH,BDE209,BYD E400EV
LF69UYJ,BDE210,BYD E400EV
LF69UYK,BDE211,BYD E400EV
LF69UYL,BDE212,BYD E400EV
LF69UYM,BDE213,BYD E400EV
LF69UYN,BDE214,BYD E400EV
LF69UYO,BDE215,BYD E400EV
LF69UYP,BDE216,BYD E400EV
LF69UYR,BDE217,BYD E400EV
LF69UYS,BDE218,BYD E400EV
LF69UYT,BDE219,BYD E400EV
LF69UYU,BDE220,BYD E400EV
LF69UYV,BDE221,BYD E400EV
LF69UYW,BDE222,BYD E400EV
LF69UYX,BDE223,BYD E400EV
LF69UYY,BDE224,BYD E400EV
LF69UYZ,BDE225,BYD E400EV
YX74OJG,DE483,ADL E200MMC
YX74OJH,DE484,ADL E200MMC
YX74OJJ,DE485,ADL E200MMC
YX74OJK,DE486,ADL E200MMC
YX74OJL,DE487,ADL E200MMC
YX74OJM,DE488,ADL E200MMC
YX74OJN,DE489,ADL E200MMC
YX74OJO,DE490,ADL E200MMC
YX74OJP,DE491,ADL E200MMC
YX74OJR,DE492,ADL E200MMC
YX74OJS,DE493,ADL E200MMC
YX74OJT,DE494,ADL E200MMC
YX74OJU,DE495,ADL E200MMC
YX74OJV,DE496,ADL E200MMC
YX74OJW,DE497,ADL E200MMC
YX74OJY,DE498,ADL E200MMC
YX74OJZ,DE499,ADL E200MMC
YX74OKA,DE500,ADL E200MMC
YX74OKB,DE501,ADL E200MMC
YX74OKC,DE502,ADL E200MMC
YX74OKD,DE503,ADL E200MMC
